"paymentId";"globalPaymentId";"globalRecipientId";"globalRecipientIdx";"globalSchemeId";"amountEuro";"amountNationalCurrency";"year";"countryPayment"
6940;"LU6940";"LU1306";"LU1306";"LU1";12568.36;;"2009";"LU"
6941;"LU6941";"LU2217";"LU2217";"LU1";11609.68;;"2009";"LU"
6942;"LU6942";"LU1317";"LU1317";"LU1";23820.54;;"2009";"LU"
6943;"LU6943";"LU1291";"LU1291";"LU1";14870.64;;"2009";"LU"
6944;"LU6944";"LU1276";"LU1276";"LU1";17233.62;;"2009";"LU"
6945;"LU6945";"LU1311";"LU1311";"LU1";17203.70;;"2009";"LU"
6946;"LU6946";"LU1309";"LU1309";"LU1";16691.22;;"2009";"LU"
6947;"LU6947";"LU1299";"LU1299";"LU1";18007.35;;"2009";"LU"
6948;"LU6948";"LU1297";"LU1297";"LU1";24365.30;;"2009";"LU"
6949;"LU6949";"LU1273";"LU1273";"LU1";20403.41;;"2009";"LU"
6950;"LU6950";"LU1274";"LU1274";"LU1";18523.72;;"2009";"LU"
6951;"LU6951";"LU1316";"LU1316";"LU1";26283.13;;"2009";"LU"
6952;"LU6952";"LU2218";"LU2218";"LU1";18400.69;;"2009";"LU"
6953;"LU6953";"LU1308";"LU1308";"LU1";23159.12;;"2009";"LU"
6954;"LU6954";"LU1312";"LU1312";"LU1";25358.71;;"2009";"LU"
